Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,us_w_i_delta,cn_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
17-May-15,-0.022,-0.019,-0.001,-0.062,-0.038,0.036,-0.057,-0.07,-2.59,-0.017,0.021,0.0199,0.003,0.0189
10-May-15,0.022,-0.023,-0.073,-0.011,0.037,-0.094,-0.013,-0.1,-2.26,-0.027,0.016,0.0233,0.0435,0.0204
3-May-15,-0.055,-0.027,-0.184,-0.009,-0.029,-0.181,-0.04,-0.105,0.52,0.006,0.002,-0.0267,-0.0249,-0.0101
26-Apr-15,-0.072,-0.199,-0.117,-0.202,0.034,-0.206,-0.219,-0.1,0.36,0.009,0.005,-0.0315,-0.0003,-0.0081
19-Apr-15,0.017,-0.063,-0.201,-0.044,0.126,-0.079,-0.032,-0.225,-1.19,0.002,0.007,0.0048,-0.0327,-0.0034
12-Apr-15,0.035,-0.003,0.016,0.084,0.139,0.077,-0.036,0.025,-0.06,0.007,0.007,-0.0227,-0.0067,-0.0042
5-Apr-15,0.014,0.001,-0.07,-0.118,-0.144,0.027,-0.06,0.005,1.3,0.031,-0.015,-0.0331,-0.0203,-0.0092
29-Mar-15,0.022,-0.045,0.114,0.114,-0.015,0.026,0.063,0.08,-1.25,-0.008,0.007,0.029,0.0374,-0.0053
22-Mar-15,-0.053,-0.021,-0.037,-0.035,-0.016,-0.024,-0.073,-0.035,0.17,0.013,-0.004,-0.0044,-0.0089,0.0121
15-Mar-15,0.091,0.185,0.177,0.175,-0.075,0.074,0.171,0.145,0.89,-0.006,0,0.0074,-0.0067,0.0022
8-Mar-15,-0.03,0.243,0.09,0.132,0.013,0.141,0.138,-0.025,1.36,0.023,-0.023,-0.0207,-0.0327,-0.0137
1-Mar-15,-0.048,-0.159,-0.165,-0.242,-0.109,-0.076,-0.313,-0.065,-0.55,-0.016,0.002,0.0293,0.0349,0.0081
22-Feb-15,0.051,-0.011,0.1,0.117,-0.017,0.048,0.117,0.045,-1.3,-0.011,0.02,0.0397,0.0352,0.0094
15-Feb-15,0.027,-0.1,-0.066,-0.098,0.045,-0.023,0.009,-0.07,-0.51,0.002,-0.004,-0.0034,0.0185,0.0031
8-Feb-15,-0.074,-0.031,-0.072,-0.106,0.038,0.025,0.024,-0.09,-0.28,-0.008,-0.007,-0.0001,0.0004,-0.0074
1-Feb-15,-0.058,-0.306,0.027,-0.305,0.073,-0.061,-0.199,0,0.23,0.008,-0.01,-0.0153,-0.0069,0.0028
25-Jan-15,-0.039,0.137,0.141,0.128,-0.042,0.053,0.197,0.19,-1.53,0.021,-0.01,-0.0177,-0.0028,-0.0028
18-Jan-15,-0.006,0.061,-0.077,0.011,0.091,0.092,0.092,0,0.33,-0.031,0.02,-0.0079,-0.008,0.0139
11-Jan-15,0.041,0.049,0.192,0.133,0.098,0.024,0.114,0.215,-0.14,-0.044,0.034,0.0161,0.0361,0.032
4-Jan-15,0.044,0.131,0.143,0.152,-0.013,0.016,0.09,0.07,0.89,-0.012,0.005,0.0009,0.0273,-0.0024
28-Dec-14,0.005,0.163,0.086,0.134,0.001,0.097,0.169,0.07,1.97,-0.008,-0.013,0.0168,0.0161,-0.0114
21-Dec-14,0.023,-0.031,0.034,-0.087,0.13,-0.001,-0.101,0.04,-0.09,-0.016,0.006,0.0228,0.0173,0.0028
14-Dec-14,0.047,-0.042,-0.083,-0.082,-0.012,0.032,-0.055,-0.025,-0.91,-0.003,-0.001,0.0076,0.0052,0.0026
7-Dec-14,0.026,0.209,0.144,0.227,-0.083,0.157,0.201,0.105,-0.7,-0.002,0.003,0.0088,0.0234,0.0101
30-Nov-14,-0.002,-0.091,0.004,-0.129,-0.138,-0.081,-0.11,0.06,2.62,-0.014,-0.007,-0.0137,-0.0176,0.0081
23-Nov-14,0.04,0.122,0.234,0.137,0.125,0.069,0.16,0.155,-2.78,-0.002,0.014,0.0066,0.0166,0.0184
16-Nov-14,0.017,0.09,0.047,0.001,-0.052,0.02,0.026,0.03,-0.83,-0.018,0.003,0.0006,-0.0062,0.016
9-Nov-14,-0.006,0.074,0.024,-0.011,0.016,0.034,-0.007,-0.015,-1.53,0.006,0.002,0.0015,0.0134,0.0077
2-Nov-14,-0.013,0.037,-0.072,0.008,0.151,0.016,0.021,-0.075,-1.74,0.004,-0.015,0.0204,-0.007,-0.0112
26-Oct-14,0.007,-0.02,-0.01,-0.048,0.032,0.047,-0.034,0.005,-2.21,-0.006,0.003,0.0124,0.0071,0.0163
19-Oct-14,0.004,-0.03,-0.042,-0.048,0.024,-0.023,-0.062,-0.025,-4.17,-0.003,0.006,0.0093,0.0146,-0.0003
12-Oct-14,0.028,0.025,0.103,0.041,0.205,0.028,0.058,0.11,-1.28,0.005,0.007,0.0004,0.0092,-0.0052
5-Oct-14,0.02,0.17,0.132,0.153,-0.019,0.039,0.085,0.03,0.79,-0.008,-0.011,-0.0017,-0.0135,-0.006
28-Sep-14,-0.001,0.065,0.029,0.088,0,0.036,0.068,0.015,2.1,0.004,-0.005,-0.0114,-0.0111,-0.0008
21-Sep-14,0.043,0.085,0.236,0.041,0.104,0.076,0.085,0.16,-0.49,-0.009,0.01,0.0283,0.0168,0.009
14-Sep-14,0.012,-0.007,-0.088,0.034,0.166,0.042,-0.006,-0.025,-0.23,-0.019,0.026,0.0041,0.0144,0.0161
7-Sep-14,-0.034,-0.071,-0.171,-0.159,-0.013,-0.152,-0.122,-0.075,-1.72,0.013,0.003,-0.002,0.0136,0.0113
31-Aug-14,-0.045,-0.098,-0.18,-0.102,-0.037,-0.046,-0.123,-0.13,-2.23,-0.021,0.018,0.0059,-0.0014,0.034
24-Aug-14,0.017,0.038,0.184,0.065,0.02,0.099,0.079,0.185,-1.02,0,0.003,0.0272,0.0182,-0.0041
17-Aug-14,-0.007,-0.055,-0.085,-0.047,-0.041,-0.019,-0.056,-0.095,-0.14,0.007,0.005,-0.0028,0.011,-0.0023
10-Aug-14,0.006,0.108,-0.075,0.09,0.052,0.085,0.046,0.005,-1.58,-0.005,0.007,0.0126,0.0156,0.0006
3-Aug-14,0.024,0.103,0.217,0.08,0.011,0.087,0.053,0.125,-0.3,0.008,-0.002,0.0076,0.0012,-0.0042
27-Jul-14,-0.004,0.002,-0.086,-0.023,0.016,0.006,-0.002,-0.045,0.57,-0.006,0.006,0.0048,0.002,0.0032
