Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
26-Jun-16,0.057,0.224,0.089,0.078,0.103,0.04,1.98,-0.013,-0.013,0.0306,0.0081,-0.007
19-Jun-16,0.043,0.057,0.029,0.072,-0.043,0.085,-0.3,0.009,-0.005,0.0418,-0.0019,-0.0035
12-Jun-16,0.001,0.09,0.027,0.001,0.012,0.11,1.89,-0.011,-0.008,0.0678,0.016,-0.0064
5-Jun-16,0.049,0.044,0.11,0.053,0.046,0.05,2.86,-0.011,0,-0.01,-0.0026,-0.0027
29-May-16,-0.014,0.158,0.04,0.069,0.18,-0.05,-0.45,0.015,-0.01,0.0262,0.0116,-0.0004
22-May-16,0.016,0.015,0.032,0.028,-0.009,0.13,3.7,0.008,-0.026,0.0105,-0.0252,-0.0185
15-May-16,-0.012,-0.074,-0.017,-0.042,-0.073,-0.065,-0.08,0.009,0.007,-0.0124,0.0109,0.0039
8-May-16,-0.002,0.043,0.003,0.017,0.078,-0.02,-1.54,-0.017,0,-0.0139,0.0084,0.0046
1-May-16,0.034,0.177,0.236,0.136,0.16,0.23,-1.49,-0.003,0.007,0.0068,0.0097,0.0101
24-Apr-16,-0.041,0.002,0.107,-0.05,0.002,0.025,-0.76,-0.036,0.014,0.0183,0.0051,0.0234
17-Apr-16,0.012,-0.184,-0.054,-0.099,-0.243,-0.01,5.43,0.012,-0.012,-0.021,-0.0222,0.0105
10-Apr-16,0.027,-0.05,-0.159,-0.036,-0.045,-0.035,-3.02,0.015,0.007,-0.0208,0.0049,0.0016
3-Apr-16,0.015,0.045,0.126,0.048,0.011,0.11,-0.71,0.017,-0.012,-0.0069,0.0118,-0.0169
27-Mar-16,-0.027,0.046,0.058,0.034,0.035,0.115,3.61,0.002,0.009,0.01,-0.0014,0.0115
20-Mar-16,-0.007,-0.005,-0.041,0.039,0.01,-0.06,1.4,0.026,-0.021,-0.0083,-0.0221,-0.0162
13-Mar-16,0.089,0.127,0.114,0.062,0.079,0.005,-1.5,-0.027,0.011,0.0338,0.0104,0.0096
6-Mar-16,-0.021,-0.091,-0.098,-0.041,-0.112,0.06,2.24,0.021,-0.004,-0.0094,-0.0117,-0.0038
28-Feb-16,-0.03,-0.088,-0.175,-0.093,-0.068,-0.085,-0.05,0.011,0.006,-0.016,-0.0149,-0.0123
