Date,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,au_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta,gbpjpy_w_delta,audnzd_w_delta
5/15/2009,-0.1860,-0.2630,-0.0710,-0.0490,-0.3220,-0.1320,0.0600,0.0378,0.0051,0.0158,3.4900,0.0220,1.5600,-0.0209
5/22/2009,0.1860,0.0810,0.0470,0.0230,0.0700,0.1050,0.0200,-0.0284,-0.0755,-0.0515,0.2800,-0.0325,-1.4300,0.0194
5/29/2009,-0.2070,-0.1800,-0.1560,-0.0060,-0.4320,-0.3490,-0.0100,0.0592,-0.0258,-0.0133,-0.6000,-0.0187,0.1700,0.0069
6/5/2009,-0.0200,-0.0510,-0.1240,-0.0520,-0.0360,-0.0480,-0.0100,0.0306,0.0204,0.0162,-3.3600,0.0096,-1.6000,-0.0133
6/12/2009,-0.1900,-0.1240,-0.0200,-0.0130,-0.3410,-0.3570,0.0000,-0.0287,-0.0479,-0.0071,0.1800,-0.0186,0.1600,-0.0023
6/19/2009,-0.0510,0.1080,-0.0580,-0.0180,0.0680,0.0300,-0.0300,0.0021,-0.0068,0.0048,2.1200,0.0024,-0.9300,0.0044
6/26/2009,0.1350,0.1300,-0.0400,0.0690,-0.3450,-0.0250,0.0000,-0.0155,-0.0022,-0.0107,1.0200,-0.0030,-0.1300,0.0026
7/3/2009,0.1210,0.1120,0.0880,0.0480,0.1600,0.2180,-0.0300,-0.0174,0.0170,0.0081,-0.7600,0.0094,-0.1000,-0.0176
7/10/2009,-0.0280,0.0500,0.0280,0.0740,0.0810,-0.0110,-0.0700,-0.0082,0.0074,0.0021,3.5000,0.0160,1.8800,0.0202
7/17/2009,-0.0480,0.0790,0.0670,0.0250,0.1630,0.2000,-0.0400,-0.0021,-0.0152,-0.0157,-1.7800,-0.0231,0.2600,0.0008
7/24/2009,-0.0710,-0.1400,-0.2260,-0.0200,-0.2430,-0.3560,-0.1200,0.0483,-0.0089,-0.0087,-0.5600,-0.0144,0.8400,-0.0014
7/31/2009,-0.1520,-0.0790,-0.0150,-0.0580,-0.2120,0.0200,0.0400,0.0284,-0.0266,-0.0029,0.0700,-0.0176,-0.6400,-0.0131
8/7/2009,0.1610,0.1850,0.1130,-0.0360,0.0780,0.2100,-0.0100,0.0081,0.0035,0.0087,-2.7700,-0.0018,-2.6700,0.0145
8/14/2009,0.0020,-0.2300,-0.1610,-0.0210,-0.0900,-0.2890,0.0000,-0.0043,0.0130,-0.0027,2.7600,0.0015,0.9800,0.0092
8/21/2009,0.1040,0.1860,0.1470,0.0550,0.0610,0.2980,0.0000,-0.0155,0.0000,-0.0138,0.3800,-0.0048,-0.3300,-0.0011
8/28/2009,0.0430,0.0020,-0.0540,0.0700,0.1480,-0.0780,0.0300,0.0184,0.0237,0.0042,0.7800,-0.0039,-0.1900,-0.0035
9/4/2009,0.0820,0.0730,0.0830,0.0000,0.0750,0.1290,0.0100,-0.0123,-0.0126,0.0008,0.4800,-0.0085,-1.2700,-0.0027
9/11/2009,-0.0690,-0.0150,0.0220,-0.0160,-0.0250,-0.0190,0.0300,0.0035,-0.0262,-0.0265,2.3000,-0.0117,1.7700,0.0092
9/18/2009,0.0180,-0.0080,0.0520,0.0210,0.1630,0.1100,0.0100,0.0095,0.0414,-0.0111,-0.8700,-0.0051,1.3000,0.0024
9/25/2009,-0.1370,-0.1340,-0.0770,-0.0380,-0.0080,-0.1110,-0.0100,0.0084,0.0265,0.0004,1.8200,-0.0017,3.5600,0.0172
10/2/2009,0.1580,0.1150,0.0270,0.0300,0.0910,0.1320,-0.0300,-0.0205,0.0024,0.0124,-0.1600,0.0012,-0.3700,-0.0024
10/9/2009,0.1750,0.1110,0.0970,0.0580,0.0650,0.1100,-0.0100,0.0116,0.0085,-0.0140,-0.2700,-0.0383,-0.1900,-0.0099
10/16/2009,-0.0270,-0.0790,-0.2680,-0.0300,0.1810,-0.1840,0.0000,0.0387,-0.0496,-0.0187,-1.1300,-0.0125,-1.3600,-0.0025
10/23/2009,-0.1590,-0.0850,0.0380,-0.0450,-0.2790,-0.0790,-0.1800,0.0056,0.0009,-0.0113,-1.1000,-0.0078,1.6200,0.0091
10/30/2009,-0.0750,-0.0610,-0.0020,-0.0340,-0.0110,-0.0560,0.0300,-0.0142,-0.0118,0.0294,2.0000,0.0221,3.4500,-0.0246
11/6/2009,0.0620,0.1260,0.0890,-0.0460,0.1970,0.1050,-0.0100,-0.0336,-0.0226,-0.0120,-0.3300,-0.0242,1.1600,-0.0081
11/13/2009,-0.2740,-0.1400,-0.0900,-0.0390,-0.1340,-0.1000,-0.0100,0.0100,-0.0029,-0.0034,0.1900,-0.0120,0.3700,-0.0036
11/20/2009,0.0880,-0.0090,0.0530,0.1090,0.0620,0.0890,-0.0200,0.0214,0.0207,0.0058,0.7200,0.0192,1.4300,-0.0024
11/27/2009,0.1720,0.1260,0.0610,0.0320,0.1720,0.0410,0.0000,-0.0171,-0.0019,-0.0138,2.3400,0.0056,-0.0900,-0.0104
12/4/2009,0.0920,0.0880,0.1600,0.0570,0.2020,0.1800,0.0100,0.0087,0.0054,0.0156,-3.9500,-0.0032,-3.0300,-0.0006
12/11/2009,-0.1630,-0.0690,-0.0930,-0.0390,-0.1310,-0.2470,0.0600,0.0024,0.0207,0.0256,1.2000,0.0035,-1.0400,0.0185
12/18/2009,-0.1460,0.0200,-0.0830,0.0070,-0.0580,-0.0940,0.0000,-0.0040,0.0062,0.0278,-1.2000,0.0205,-0.9700,0.0060
1/8/2010,0.0840,0.0620,-0.0400,0.0520,0.1700,-0.0110,-0.0100,-0.0061,0.0109,-0.0073,0.2640,-0.0254,0.6100,-0.0065
1/15/2010,-0.0240,0.0260,0.0190,-0.0700,0.0320,0.0490,0.0000,0.0169,-0.0203,0.0027,1.8100,0.0052,1.4400,0.0036
1/22/2010,0.1250,0.1180,0.1050,0.0350,0.0730,0.1690,-0.0200,0.0018,0.0157,0.0214,1.0800,0.0200,1.7200,-0.0172
1/29/2010,0.0250,0.0450,0.1160,0.0000,0.1070,0.0940,0.0300,-0.0281,0.0121,0.0289,-0.3200,0.0184,0.6300,0.0056
2/5/2010,0.0150,0.0190,0.0360,0.0050,0.0440,0.0290,0.0500,-0.0139,0.0304,0.0185,0.9700,0.0147,0.9500,0.0010
2/12/2010,0.0130,0.0550,0.0110,-0.0490,-0.0200,0.0870,0.0200,-0.0029,-0.0103,0.0025,-0.7800,-0.0198,-0.4000,-0.0140
2/26/2010,-0.1580,-0.0780,-0.0900,0.0390,-0.1490,-0.1160,0.0200,0.0196,0.0221,-0.0019,2.6600,0.0046,0.4700,0.0002
3/5/2010,0.2430,0.1790,0.1150,0.0350,0.1480,0.1950,0.0100,-0.0129,0.0013,-0.0003,-1.3400,-0.0101,-2.7700,-0.0220
3/12/2010,0.0090,-0.0420,-0.0690,-0.0100,-0.0500,-0.0650,0.0600,0.0232,-0.0053,-0.0125,-0.1400,-0.0055,-1.1500,-0.0076
3/19/2010,-0.0330,-0.0160,-0.0590,-0.0340,-0.1500,0.0080,-0.0900,0.0080,0.0165,0.0232,0.0600,0.0020,2.0500,0.0083
3/26/2010,0.1440,0.0560,0.0530,-0.0210,-0.0350,0.0080,0.0700,0.0000,0.0083,0.0109,-2.0390,0.0102,-0.5800,0.0084
4/2/2010,-0.0810,-0.0360,-0.0830,-0.0150,-0.0780,-0.1660,-0.0400,-0.0105,-0.0243,-0.0030,-2.1600,-0.0145,-0.3200,-0.0141
4/9/2010,0.1200,0.0690,0.0030,0.0210,-0.0480,0.0150,-0.0500,0.0145,-0.0103,-0.0007,1.4900,-0.0139,-0.5400,0.0142
4/16/2010,-0.1250,-0.0630,-0.0740,-0.0260,-0.0300,0.0760,-0.0400,0.0059,0.0082,0.0124,0.9300,0.0121,2.4500,-0.0062
4/23/2010,0.0900,0.0940,-0.0180,0.0400,-0.0220,0.1320,0.0200,-0.0082,-0.0086,0.0091,-1.9700,-0.0069,-0.6500,0.0016
4/30/2010,-0.0600,0.0100,-0.0180,0.0300,-0.0180,-0.0450,0.0600,0.0162,0.0116,0.0052,0.2400,0.0019,1.0300,0.0119
5/7/2010,0.1890,0.0470,0.0330,0.0300,0.1290,0.1330,0.0400,-0.0187,0.0511,0.0581,2.3500,0.0351,-1.3000,0.0092
5/14/2010,0.0770,0.2240,0.1640,0.0060,0.2340,0.2660,0.0200,-0.0265,0.0307,0.0577,0.1900,0.0133,0.8600,-0.0100
5/21/2010,0.0890,0.0590,0.1540,-0.0210,-0.0140,0.1330,0.0600,-0.0038,0.0065,-0.0222,2.3500,0.0540,-1.9400,0.0208
5/28/2010,0.1830,0.1560,0.0860,0.0600,0.0630,0.2550,0.0500,-0.0239,0.0013,0.0274,-0.8700,-0.0158,0.8700,-0.0159
6/4/2010,-0.0200,-0.0040,0.0530,-0.0140,-0.0300,-0.1140,-0.0300,0.0079,-0.0021,0.0315,-0.9100,0.0225,2.5200,0.0064
6/11/2010,0.0680,0.0920,0.0240,-0.0160,-0.0620,0.0640,-0.0400,-0.0107,-0.0124,-0.0158,0.1800,-0.0276,0.9200,-0.0090
6/18/2010,0.0500,0.0020,-0.1140,0.0380,-0.1100,0.0120,-0.0300,0.0287,-0.0269,-0.0271,1.0800,-0.0202,0.2500,0.0002
6/25/2010,-0.0590,-0.1520,0.1210,0.0310,0.0380,0.0720,-0.0800,0.0125,-0.0201,0.0060,1.2100,0.0069,-0.6600,0.0144
7/2/2010,0.1490,0.1400,0.1710,0.0560,0.1470,0.1840,0.0000,-0.0154,-0.0150,-0.0183,1.5500,0.0328,-0.3100,0.0118
7/9/2010,0.0210,0.0280,0.0890,0.0470,0.1510,0.1110,0.0900,-0.0271,0.0129,-0.0085,-0.8700,-0.0363,0.6100,-0.0129
7/16/2010,0.0100,-0.0630,-0.1520,-0.0610,-0.0070,-0.0860,0.0300,0.0292,-0.0236,-0.0285,2.1200,0.0085,2.5300,0.0069
7/23/2010,0.0110,0.0270,0.0430,0.0690,-0.0120,0.1040,0.0100,-0.0256,-0.0128,-0.0004,-0.7800,-0.0290,-2.0100,-0.0061
7/30/2010,-0.1100,-0.0730,-0.0550,0.0200,-0.0840,-0.0440,-0.0200,0.0216,-0.0279,-0.0153,1.1200,-0.0090,-0.0200,-0.0187
8/6/2010,0.1170,0.0690,0.1110,0.0010,0.0030,0.0820,-0.0300,0.0084,-0.0215,-0.0219,0.9300,-0.0122,0.1400,-0.0129
8/13/2010,0.0990,0.1530,0.0360,0.0100,0.0260,0.1100,0.0000,0.0023,0.0396,0.0532,-0.8170,0.0260,-0.6100,-0.0042
8/20/2010,0.0980,0.1200,0.0900,0.0740,0.0410,0.1270,0.0200,-0.0152,0.0058,0.0055,0.6570,-0.0005,0.0500,0.0050
8/27/2010,0.1660,0.1130,0.0350,0.0550,0.0720,0.0080,0.0100,-0.0062,0.0008,-0.0057,0.3760,-0.0118,-1.2400,0.0042
9/3/2010,0.0730,0.0790,0.0510,-0.0740,0.1430,-0.0230,0.0100,-0.0020,0.0084,-0.0131,1.0230,-0.0152,-0.5500,-0.0059
9/10/2010,-0.1080,-0.1530,-0.0840,-0.1380,0.0390,-0.1100,0.0200,0.0114,0.0088,0.0218,0.1780,-0.0107,0.0900,-0.0049
9/17/2010,-0.1360,-0.0440,-0.0270,-0.0140,-0.0570,-0.1450,-0.0300,0.0023,-0.0265,-0.0347,-1.6510,-0.0070,0.0000,-0.0197
9/24/2010,-0.0020,0.0000,0.0740,0.0990,-0.0770,0.0810,-0.0300,0.0013,-0.0166,-0.0438,1.5420,-0.0205,-0.8800,-0.0095
10/1/2010,0.0660,0.1090,0.0730,0.0730,0.0540,0.1200,-0.0300,0.0091,0.0004,-0.0307,1.0830,-0.0121,-0.4500,-0.0067
10/8/2010,0.0700,0.0550,0.0570,0.0420,0.0410,0.0250,-0.0100,0.0047,-0.0157,-0.0156,1.4700,-0.0120,0.0300,-0.0009
10/15/2010,0.0920,0.0260,0.0640,0.0920,0.0740,0.1070,0.0000,0.0079,-0.0036,0.0028,0.1250,-0.0005,0.1700,-0.0064
10/22/2010,-0.0670,-0.1090,-0.1070,-0.0120,-0.0770,-0.2210,-0.0700,0.0004,0.0297,0.0020,0.0830,0.0074,0.1200,-0.0008
10/29/2010,-0.0010,-0.0910,0.0360,-0.0110,-0.0050,-0.0320,-0.2500,-0.0137,-0.0376,0.0005,0.9920,0.0014,0.1800,0.0307
11/5/2010,-0.1220,-0.0560,-0.0740,-0.0430,-0.0630,-0.0810,-0.0400,0.0063,-0.0140,-0.0060,-0.9040,-0.0309,-0.1300,0.0199
11/12/2010,0.0920,0.1000,-0.0470,0.0030,-0.0840,0.0480,-0.1200,0.0182,0.0073,0.0363,-1.2030,0.0295,0.0400,0.0069
11/19/2010,-0.2330,-0.0950,-0.1550,-0.0670,-0.0570,-0.2170,-0.0800,-0.0114,0.0144,0.0010,-1.0360,0.0007,0.4600,0.0090
11/26/2010,-0.1470,-0.1430,-0.0840,-0.0680,-0.1040,0.0160,0.1100,-0.0046,0.0412,0.0496,-0.6660,0.0243,0.7600,-0.0034
12/3/2010,0.0260,-0.0060,0.0300,-0.1240,0.0170,-0.0240,-0.1300,-0.0048,-0.0177,-0.0141,1.5130,-0.0257,0.5000,-0.0081
12/10/2010,-0.0390,-0.1150,-0.0580,-0.0200,-0.0220,-0.1800,0.1300,0.0148,-0.0033,0.0182,-1.2370,0.0067,-0.5500,-0.0156
12/17/2010,-0.1020,-0.1090,-0.1540,0.0100,-0.0960,-0.3310,0.0100,-0.0056,0.0265,0.0017,0.0130,-0.0044,0.9100,-0.0200
12/24/2010,-0.0360,-0.0360,0.1380,0.0040,0.0590,0.0360,0.0300,-0.0041,0.0076,0.0052,1.1120,-0.0172,0.1100,-0.0050
12/31/2010,0.0320,-0.0020,0.0040,0.0400,-0.1520,-0.1050,0.0100,0.0053,-0.0169,-0.0273,1.7470,-0.0213,-0.9300,0.0282
1/7/2011,0.1130,0.0310,0.0500,0.0330,0.1400,0.1190,-0.0400,0.0102,-0.0013,0.0434,-2.1300,0.0257,-0.3900,0.0016
1/14/2011,-0.1160,0.1030,-0.0700,-0.0770,-0.0770,0.0490,0.0200,0.0016,-0.0330,-0.0491,0.2600,0.0056,-0.4700,0.0124
1/21/2011,-0.0970,-0.1600,-0.0810,0.0000,0.0410,-0.0190,-0.0500,0.0022,-0.0130,-0.0252,0.3050,0.0005,-0.2000,-0.0181
1/28/2011,-0.0800,-0.1310,-0.0850,-0.0130,-0.1290,-0.1280,-0.0500,-0.0058,0.0132,-0.0004,0.5500,-0.0051,1.7300,0.0207
2/4/2011,0.0430,0.0300,0.0820,-0.0060,0.1260,0.0850,-0.0100,-0.0075,-0.0278,-0.0004,-0.0550,-0.0250,-0.7000,-0.0286
2/11/2011,-0.1680,-0.1020,-0.2070,-0.0650,-0.2240,-0.2950,-0.0100,0.0140,0.0089,0.0018,-1.1650,0.0116,0.5100,-0.0001
2/18/2011,0.0260,-0.0220,0.0100,-0.0050,0.0450,0.0240,-0.0200,-0.0008,-0.0251,-0.0165,0.2850,-0.0137,-0.4600,-0.0034
2/25/2011,0.0650,0.0440,0.0130,0.0060,0.0500,0.0570,0.0900,0.0006,0.0133,-0.0059,1.4450,-0.0035,0.6200,-0.0282
3/4/2011,0.1880,0.1070,0.1020,0.0560,0.1170,0.1030,0.0800,0.0074,-0.0185,-0.0239,-0.6450,0.0016,0.1800,-0.0236
3/11/2011,-0.0230,-0.1290,-0.0570,-0.0520,-0.0920,-0.0670,0.0500,0.0049,0.0194,0.0091,0.3800,0.0015,1.5400,0.0199
3/18/2011,0.0850,0.0520,0.0860,0.0500,0.0690,0.1340,0.0000,-0.0013,-0.0149,-0.0228,0.9150,0.0139,-3.0700,0.0030
3/25/2011,0.1310,0.0220,0.1040,0.0400,0.0380,0.1110,0.0500,-0.0105,0.0190,0.0098,-0.4650,-0.0304,0.1000,0.0052
4/1/2011,-0.1040,-0.0760,-0.0690,-0.0100,-0.0310,-0.1380,-0.0100,0.0040,-0.0101,-0.0191,-2.6650,-0.0142,-2.0300,0.0137
4/8/2011,-0.0900,-0.0780,-0.1000,-0.0600,-0.0590,0.0160,0.0100,0.0182,-0.0274,-0.0254,-0.6050,-0.0178,-0.1000,0.0010
4/15/2011,-0.0970,-0.1140,-0.0460,-0.0400,-0.2360,-0.1600,0.0200,0.0089,0.0057,0.0024,1.8050,-0.0010,0.8100,0.0262
4/22/2011,0.2090,0.1130,0.1620,0.0340,-0.0190,0.1860,0.0400,-0.0036,-0.0195,-0.0144,1.2800,-0.0187,0.0600,-0.0086
4/29/2011,0.0750,0.1150,-0.0230,0.0710,0.0630,-0.0260,0.0000,0.0048,-0.0187,-0.0248,0.6350,-0.0213,0.0300,-0.0206
5/6/2011,0.0970,0.0210,0.0830,0.0100,0.0380,0.0890,0.0200,0.0080,0.0347,0.0509,0.4850,0.0271,-0.3400,0.0021
5/13/2011,0.1000,0.0750,0.0230,0.0640,-0.0140,0.1550,0.0100,-0.0216,0.0187,0.0248,-0.0050,0.0134,1.2200,0.0097
5/20/2011,0.0170,0.0960,0.0010,0.0200,0.0120,-0.0120,0.0000,-0.0023,-0.0054,-0.0083,-0.8350,-0.0091,-0.1000,0.0032
5/27/2011,0.0240,0.0240,0.0280,-0.0040,-0.1100,0.0170,0.0000,-0.0045,-0.0282,-0.0186,0.9650,-0.0062,-0.0600,0.0268
6/3/2011,0.0200,0.0800,0.0350,0.0000,0.2850,0.0330,0.0000,-0.0021,0.0060,-0.0327,0.5200,-0.0001,0.6300,-0.0036
6/10/2011,0.0060,-0.0700,0.0790,-0.0100,-0.1040,0.0890,0.0100,-0.0005,0.0194,0.0280,-0.0600,0.0195,1.2100,0.0296
6/17/2011,0.0610,0.0900,-0.0170,-0.0150,-0.0380,0.0290,-0.0300,-0.0027,0.0044,0.0020,0.2700,-0.0098,0.7000,-0.0109
6/24/2011,0.0110,0.0030,0.0640,0.0050,0.0500,0.0490,-0.1000,-0.0010,0.0205,0.0089,-0.3100,0.0111,0.4800,0.0083
7/1/2011,0.0580,0.1130,0.0500,0.0200,0.0360,0.0290,0.0500,-0.0081,-0.0112,-0.0337,-0.4550,-0.0284,-0.6600,0.0038
7/8/2011,-0.2590,-0.2020,-0.2620,-0.0350,-0.2540,-0.3170,0.0100,0.0294,0.0002,0.0274,0.2100,0.0017,0.2700,0.0016
7/15/2011,0.1850,0.1970,0.1740,-0.0210,0.0310,0.1350,-0.0200,-0.0042,-0.0106,0.0063,1.4250,0.0065,0.1100,0.0156
7/22/2011,0.0880,0.1320,0.0520,0.0520,0.1840,0.0400,-0.0400,0.0076,-0.0186,-0.0236,0.5550,-0.0217,0.1000,0.0000
7/29/2011,-0.0490,-0.1360,-0.0730,-0.0320,-0.0540,-0.0870,-0.1700,0.0065,-0.0094,0.0000,1.4500,-0.0149,1.1000,-0.0115
8/5/2011,0.2250,0.2910,0.1480,0.0090,0.1400,0.1590,-0.0100,-0.0072,0.0008,0.0081,-1.0000,0.0553,0.0500,0.0041
8/12/2011,0.2140,0.2020,0.1470,0.0590,0.3750,0.2340,-0.0800,-0.0270,0.0183,0.0120,1.4850,0.0060,0.0300,-0.0001
8/19/2011,0.2400,0.0930,0.0950,-0.0410,0.0760,0.2600,0.1500,-0.0049,-0.0175,-0.0136,0.3550,-0.0038,0.3200,-0.0039
8/26/2011,0.1560,0.2140,0.1660,0.0540,0.2250,0.1980,0.0000,-0.0020,0.0108,-0.0126,0.1400,-0.0186,0.5700,0.0090
9/2/2011,-0.1320,-0.0540,-0.0760,-0.0650,-0.1360,-0.0730,-0.0100,0.0100,0.0122,0.0287,-0.1250,-0.0069,-0.0600,-0.0008
9/9/2011,0.0600,0.1430,0.1080,0.0080,0.0120,0.2290,0.0000,-0.0039,0.0272,0.0476,-0.6400,0.0155,0.6200,-0.0126
9/16/2011,0.1270,0.2380,0.1900,0.0360,0.0370,0.0330,-0.0100,-0.0109,0.0043,-0.0230,0.7200,0.0051,-0.0700,0.0127
9/23/2011,-0.2200,-0.0810,-0.2010,-0.0140,-0.0800,-0.1800,-0.0200,0.0193,0.0285,0.0182,0.3300,0.0511,-1.1800,-0.0107
9/30/2011,0.0560,0.1240,0.1780,0.0190,0.1550,0.1840,0.0000,-0.0466,-0.0105,0.0123,-0.4700,0.0122,-0.1200,-0.0177
10/14/2011,-0.0670,-0.1260,-0.0750,-0.0510,-0.1540,-0.0750,-0.0200,-0.0220,-0.0270,-0.0495,-0.4150,-0.0579,-1.0000,-0.0098
10/21/2011,-0.1430,-0.2230,-0.1630,-0.0100,-0.1350,-0.1560,-0.0100,0.0283,-0.0128,-0.0015,0.8650,-0.0050,-0.4100,-0.0063
10/28/2011,0.0770,0.1140,0.0460,0.0170,-0.0070,0.0300,0.0600,0.0037,-0.0176,-0.0280,0.3200,-0.0371,0.0500,-0.0138
11/4/2011,-0.0820,-0.0660,-0.0670,-0.0340,-0.0450,-0.1240,-0.0100,0.0179,0.0089,0.0353,-2.4900,0.0309,-0.2600,-0.0073
11/11/2011,0.2910,0.3790,0.2280,0.0510,0.1990,0.1860,0.0500,-0.0255,-0.0009,0.0066,0.9400,0.0132,-0.2900,-0.0029
11/18/2011,0.0230,-0.0660,0.0120,0.0260,0.2100,-0.0300,0.1000,0.0059,0.0270,0.0253,0.2750,0.0307,-0.2100,-0.0111
11/25/2011,0.0220,-0.0790,0.0110,0.0270,0.2100,0.0850,-0.0700,-0.0169,0.0354,0.0286,-0.8350,0.0287,-0.5200,0.0106
12/2/2011,-0.0550,-0.2870,0.0160,-0.0730,0.1830,-0.0100,0.0200,-0.0199,-0.0103,-0.0078,-0.5100,-0.0414,0.2500,-0.0004
12/9/2011,0.0090,0.1360,0.0630,0.0160,-0.0870,0.0220,0.1400,0.0245,-0.0071,0.0024,0.4250,0.0015,-0.3700,-0.0037
12/16/2011,0.1320,0.0060,0.0770,0.0540,0.1640,0.0300,-0.0300,0.0016,0.0100,0.0318,-0.1300,0.0208,-0.0600,0.0026
12/23/2011,0.0870,0.3090,0.1950,0.0450,0.0890,0.1740,-0.0100,-0.0180,-0.0058,-0.0009,-0.2950,-0.0180,0.8900,-0.0053
12/30/2011,-0.0060,-0.1040,-0.1330,-0.0020,-0.0110,-0.1720,-0.0100,0.0181,0.0070,0.0082,1.1700,-0.0043,0.0500,-0.0023
1/6/2012,0.0580,0.0960,0.0680,-0.0100,0.0330,0.1600,0.0500,-0.0016,0.0080,0.0224,0.1450,-0.0004,0.8300,0.0013
1/13/2012,0.0010,-0.0250,0.0390,0.0100,-0.0960,-0.0100,0.0000,-0.0086,0.0099,0.0013,-0.1550,-0.0120,-0.1200,-0.0006
1/20/2012,0.0590,0.0830,0.0380,0.0400,-0.0090,0.1220,-0.0100,0.0063,-0.0280,-0.0293,-0.1200,-0.0189,-0.5600,0.0006
2/3/2012,-0.1570,-0.1730,-0.1230,-0.0380,-0.1010,-0.1280,0.0200,0.0108,-0.0088,0.0056,0.1600,-0.0138,-0.7200,0.0035
2/10/2012,-0.1360,-0.1090,-0.0820,0.0190,0.1240,-0.1070,-0.0400,0.0083,0.0063,-0.0071,-1.0700,0.0088,0.4900,-0.0012
2/17/2012,0.0440,-0.0030,-0.0330,-0.0040,-0.1650,-0.0450,-0.0900,-0.0078,-0.0035,0.0099,-1.9050,0.0002,-1.2400,-0.0012
2/24/2012,-0.0380,0.0040,0.0140,0.0350,-0.0520,-0.0100,-0.0500,0.0034,-0.0011,-0.0246,-1.4500,0.0079,-2.9900,0.0012
3/2/2012,0.1460,0.0750,0.0470,-0.0190,-0.0100,0.0460,-0.0200,-0.0062,0.0059,0.0260,-0.2050,-0.0021,-0.0500,-0.0119
3/9/2012,-0.0600,0.0780,0.0380,0.0060,-0.0310,-0.0470,-0.0400,0.0101,0.0161,0.0074,-0.6250,0.0152,-0.2000,0.0080
3/16/2012,-0.0110,0.0280,-0.0740,-0.0010,0.0680,-0.0450,0.0200,-0.0005,-0.0178,-0.0059,-0.9800,-0.0021,-0.8800,0.0015
3/23/2012,-0.3030,-0.2580,-0.2400,-0.0590,-0.2470,-0.2950,0.0000,-0.0010,-0.0025,-0.0089,1.1550,0.0136,-0.0100,0.0039
3/30/2012,0.1560,0.1810,0.0320,0.0130,0.0850,0.0370,-0.0100,-0.0070,-0.0139,-0.0073,-0.4200,0.0128,-1.2000,0.0135
4/13/2012,0.0800,0.0790,0.0860,0.0410,0.1710,0.0530,0.0100,-0.0007,0.0046,0.0020,0.6450,-0.0075,0.8400,0.0042
4/20/2012,0.0490,-0.0560,0.0710,0.0210,0.0640,0.0320,-0.0300,-0.0022,-0.0272,-0.0149,-0.5850,-0.0016,-0.4700,-0.0077
4/27/2012,-0.1490,0.0080,-0.0850,-0.0010,-0.0080,0.0000,-0.0100,0.0069,-0.0138,-0.0065,1.3100,-0.0096,0.4700,-0.0079
5/4/2012,0.0290,-0.0040,-0.0670,0.0250,0.1800,-0.0130,0.0000,0.0124,0.0118,0.0156,0.4900,0.0278,0.8100,-0.0108
5/11/2012,0.1350,0.1190,0.0550,-0.0020,0.1150,0.0390,0.0100,-0.0149,0.0077,0.0106,-0.1870,0.0134,0.4200,-0.0014
5/18/2012,0.0070,0.0450,-0.0010,0.0100,0.1100,0.0320,0.0200,-0.0045,0.0246,0.0111,0.9640,0.0168,0.2500,-0.0164
5/25/2012,0.0990,0.0720,0.0310,0.0270,0.1510,0.0790,0.0900,-0.0204,0.0147,0.0263,-0.4520,0.0089,-0.1200,0.0062
6/1/2012,0.0830,0.0730,0.0970,-0.0440,-0.0430,-0.0100,0.0300,-0.0079,0.0325,0.0144,1.6090,0.0112,0.9000,0.0044
6/8/2012,0.2440,0.2370,0.1700,0.0650,0.3410,0.2590,-0.0100,-0.0141,-0.0098,-0.0082,-1.3800,-0.0208,0.7900,-0.0036
6/15/2012,-0.0150,-0.1470,-0.1290,-0.0600,-0.3580,-0.1370,0.0300,0.0120,-0.0194,-0.0004,0.7560,-0.0096,-0.2600,0.0057
6/22/2012,0.0250,-0.0140,0.0660,0.0230,0.0010,0.0470,-0.0600,0.0003,0.0138,0.0169,-1.4830,0.0063,-0.2900,0.0068
6/29/2012,-0.0130,-0.0450,-0.0750,0.0410,-0.0040,-0.1050,0.0000,-0.0042,-0.0116,-0.0114,0.6780,-0.0191,-2.1200,-0.0052
7/6/2012,-0.0530,-0.0030,0.0140,0.0030,-0.0080,-0.0340,0.0400,0.0092,0.0212,0.0382,0.2570,0.0050,0.6600,0.0003
7/13/2012,0.1120,0.2680,0.0450,0.0500,0.1150,0.0990,0.0400,-0.0028,-0.0089,0.0019,0.4650,-0.0046,-1.0300,-0.0051
7/20/2012,0.0450,0.0760,0.0220,0.0270,0.1290,0.0250,0.0100,0.0060,-0.0034,0.0095,0.7500,-0.0140,0.9300,-0.0140
7/27/2012,0.0400,0.0970,0.0160,0.0270,-0.0110,0.0170,-0.0200,0.0014,-0.0137,-0.0197,0.0400,-0.0125,-0.9100,0.0047
8/3/2012,-0.0700,-0.2500,-0.1810,0.0010,-0.1000,-0.1550,0.0100,0.0108,0.0093,-0.0083,0.0050,-0.0093,-1.3100,0.0034
8/10/2012,-0.0310,-0.0060,-0.0240,0.0150,0.0590,-0.0360,0.0000,0.0029,-0.0051,0.0103,0.3450,-0.0001,0.1000,-0.0087
8/17/2012,-0.0060,0.0450,0.0060,-0.0470,0.0600,-0.0910,0.0000,0.0103,-0.0018,-0.0047,-1.2750,0.0140,-0.0600,0.0096
