Date,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,au_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta,gbpjpy_w_delta,audnzd_w_delta
1/5/2007,-0.0010,-0.0630,-0.0740,-0.0850,-0.0560,-0.0920,-0.0130,-0.0084,0.0328,0.0204,0.3900,0.0107,2.2900,-0.0191
1/12/2007,-0.0610,-0.0550,0.0510,-0.0190,0.0800,0.0120,-0.0020,-0.0087,-0.0284,0.0085,-1.6000,-0.0048,-1.4900,-0.0018
1/19/2007,-0.1070,-0.0840,-0.0870,-0.0250,-0.0930,-0.1030,0.0300,0.0031,-0.0140,-0.0034,-0.9100,-0.0054,0.0300,-0.0058
1/26/2007,-0.0060,0.0200,-0.0010,0.0800,0.0120,-0.0160,-0.0010,-0.0036,0.0145,0.0037,-0.3100,0.0154,-0.0200,0.0170
2/2/2007,-0.0780,-0.0380,-0.0630,-0.0260,0.0670,-0.1040,0.0000,-0.0072,-0.0046,-0.0039,0.3500,-0.0012,-0.5300,-0.0222
2/9/2007,-0.0180,0.0250,0.0090,-0.0360,-0.1120,0.0420,-0.0090,-0.0045,0.0162,-0.0051,-0.5800,-0.0025,0.0000,-0.0095
2/16/2007,0.0390,-0.0300,0.0150,0.0300,0.1810,0.0280,0.0040,0.0121,0.0019,-0.0125,2.6500,-0.0100,-0.2600,0.0069
3/2/2007,0.0920,0.0370,0.0730,-0.0100,-0.0130,0.0940,-0.0300,0.0107,0.0209,-0.0014,4.3100,0.0098,3.3500,-0.0219
3/9/2007,0.0900,0.1090,0.0790,0.0060,0.1370,0.1350,-0.0200,-0.0178,0.0123,0.0092,-1.6900,0.0021,-2.4500,0.0259
3/16/2007,-0.0430,-0.0180,-0.0750,0.0500,-0.0230,-0.1000,-0.0500,0.0050,-0.0073,-0.0200,1.6400,-0.0145,0.6300,-0.0158
3/23/2007,0.0420,0.0480,0.0290,0.0400,-0.0150,0.0360,0.0000,-0.0043,-0.0217,0.0034,-1.8500,-0.0112,0.2800,0.0021
3/30/2007,-0.1220,-0.0940,-0.0620,-0.0320,-0.0800,-0.0520,-0.1000,0.0157,-0.0073,-0.0065,0.1000,-0.0033,-0.1500,-0.0076
4/6/2007,-0.0540,-0.0570,0.0080,-0.0440,0.0380,-0.0220,-0.0200,0.0070,0.0039,-0.0007,-1.7900,-0.0063,-0.4100,-0.0069
4/13/2007,-0.0350,-0.0290,-0.0520,-0.0150,0.0070,-0.0360,0.0000,0.0008,-0.0210,-0.0155,0.0100,-0.0168,-1.1800,0.0014
4/20/2007,-0.1090,-0.1350,-0.0230,0.0050,-0.0560,-0.0230,-0.0200,0.0127,-0.0156,-0.0025,0.6900,-0.0031,-0.4400,0.0105
4/27/2007,0.0320,0.0380,-0.0030,-0.0260,0.0230,0.0990,-0.1000,0.0130,0.0082,-0.0044,-0.8900,0.0082,-0.8900,0.0056
5/4/2007,-0.0560,-0.0180,-0.0070,0.0640,0.0800,-0.0320,-0.0600,0.0062,0.0048,0.0043,-0.9900,0.0073,-0.2000,0.0032
5/11/2007,0.0020,0.0220,0.0030,-0.0070,0.0310,0.0400,0.0000,0.0080,0.0127,0.0072,-0.0400,-0.0096,-1.1900,-0.0090
5/18/2007,0.0280,-0.0200,0.0340,-0.0180,-0.0390,-0.0180,-0.0200,-0.0037,0.0072,0.0021,-0.8900,0.0088,0.3300,0.0049
5/25/2007,-0.0430,-0.0820,-0.1280,0.0030,-0.0530,-0.1340,-0.0900,0.0225,-0.0093,0.0073,-0.6200,0.0063,-0.5100,-0.0008
6/1/2007,-0.0800,-0.0630,-0.1020,-0.0850,0.0020,-0.0490,-0.1800,0.0087,0.0017,-0.0002,-0.3200,-0.0141,-0.9600,0.0154
6/8/2007,-0.0560,-0.0610,-0.1010,-0.0540,-0.0380,-0.0950,0.0500,0.0195,0.0124,0.0069,0.3100,-0.0123,-0.6000,0.0112
6/15/2007,-0.1010,-0.1060,-0.1070,-0.1160,-0.1790,-0.1700,-0.0500,0.0006,-0.0069,-0.0027,-1.6700,0.0024,-1.8300,0.0156
6/22/2007,-0.0910,-0.0820,0.0200,-0.0430,-0.0530,-0.0450,-0.1700,-0.0064,-0.0235,-0.0084,-0.3900,-0.0054,-1.1200,0.0102
6/29/2007,-0.0450,-0.0040,-0.0440,0.0400,-0.0290,0.0000,-0.0600,-0.0004,-0.0097,-0.0065,0.6200,-0.0012,-0.7100,0.0069
7/6/2007,0.0320,0.0800,0.0940,0.0260,0.0020,0.0800,0.0000,0.0032,-0.0024,-0.0080,-0.2800,-0.0054,-0.7600,-0.0030
